English,Hindi,Complexity,sonar_eng_emb,sonar_hin_emb,openai_eng_emb,openai_hin_emb,sonar_cos_sim,openai_cos_sim
Hello.,नमस्ते।,Low,"[ 0.00346697  0.00854047  0.00477157 ... -0.02184122 -0.00959695
  0.02638893]","[ 2.3626784e-02  1.0234638e-02 -1.5405351e-02 ... -3.8900118e-02
 -1.7805772e-03 -6.9576581e-06]","[-0.04336953 -0.01335241 -0.01405141 ...  0.00485723 -0.01906353
 -0.01618017]","[-0.0066911   0.01398716 -0.00420479 ... -0.00076118  0.01788282
 -0.01008485]",0.7669804,0.45270382885693905
The cat sits on the mat.,बिल्ली चटाई पर बैठी है।,Low,"[-1.3189184e-02  1.7360043e-02 -9.5985575e-05 ...  4.6240417e-03
  4.4278719e-02  1.3979018e-02]","[-0.00725165  0.00412549 -0.00667818 ...  0.0002804   0.03739
  0.00406074]","[-0.04412269 -0.00391444 -0.01197399 ...  0.00263373 -0.01868742
  0.00453414]","[-0.02195513 -0.02408569  0.00044968 ... -0.02212603 -0.02047398
 -0.00345221]",0.80773836,0.4932039207838633
I like apples.,मुझे सेब पसंद हैं।,Low,"[ 0.0364163   0.03553113  0.02718339 ... -0.05406429  0.02716365
  0.02006902]","[ 0.04187194  0.01001086  0.01826186 ... -0.04288751  0.03715902
 -0.01930822]","[-0.01713078 -0.00259826 -0.03022436 ... -0.01005888 -0.01908118
 -0.02613262]","[ 0.00516491  0.02790864 -0.01233462 ... -0.02011597 -0.00716405
  0.00291376]",0.8330542,0.5561752044330144
She runs fast.,वह तेज दौड़ती है।,Low,"[ 0.00599053  0.03020068 -0.00621111 ...  0.02054798  0.00388479
  0.00625251]","[ 0.01529779  0.0082102  -0.02103845 ...  0.02023464  0.02617518
 -0.00738854]","[ 0.03100444 -0.02849097 -0.00120876 ...  0.00324719 -0.00777369
 -0.02227504]","[ 0.00654423  0.00244423  0.0021502  ...  0.00735897 -0.0048129
 -0.00835112]",0.8441841,0.43641060687773287
They play outside.,वे बाहर खेलते हैं।,Low,"[ 0.01798655  0.05940684  0.0043121  ... -0.02315368  0.00615116
  0.0650323 ]","[ 0.04259098  0.02519153 -0.0151256  ... -0.00411515  0.01823488
  0.02208698]","[ 0.01209831 -0.0449736  -0.00966311 ...  0.01155428 -0.00389676
 -0.00521583]","[ 0.01309268 -0.04239267 -0.00692334 ... -0.00651815  0.00135384
 -0.01667238]",0.84244585,0.6129170077681357
We read books.,हम किताबें पढ़ते हैं।,Low,"[ 0.0058342   0.01292609 -0.02421716 ... -0.0171665   0.02731005
  0.04194497]","[ 0.00695796 -0.01834879 -0.03290776 ... -0.00749993  0.03293779
  0.00548425]","[ 0.00645137 -0.03538468 -0.01995803 ...  0.00184295 -0.0076925
 -0.01580149]","[-0.00823585 -0.01381497 -0.01269324 ... -0.00476144 -0.00941661
 -0.02043907]",0.8583581,0.6088793853124076
He drinks water.,वह पानी पीता है।,Low,"[ 0.00833615  0.01954884 -0.01005358 ... -0.03176058 -0.00276805
  0.03821249]","[ 0.018634    0.00440406 -0.03349332 ... -0.02731325  0.0181747
  0.00314102]","[ 0.01669559  0.01665118 -0.00536538 ...  0.00161146 -0.00627565
 -0.01653278]","[-0.00244163 -0.02228783 -0.00762322 ...  0.01288348 -0.00793789
 -0.00670297]",0.83060765,0.5751752236540975
The sun is bright.,सूरज चमकदार है।,Low,"[-0.00334817 -0.01084469  0.00514769 ... -0.00723839  0.01693873
  0.03570424]","[ 0.0038562  -0.03519454 -0.01070898 ... -0.00705146  0.03125231
  0.00882578]","[ 0.02857244 -0.0158965   0.00426366 ...  0.02360677  0.00022149
 -0.01374682]","[-0.02315162 -0.01875177 -0.00617551 ...  0.01250816  0.01112535
 -0.04144245]",0.8413756,0.4433267113893786
Birds sing.,पक्षी गाते हैं।,Low,"[-0.00454893 -0.00246449 -0.00372619 ... -0.00457362  0.01715421
 -0.01204602]","[ 0.00480433 -0.01695159 -0.01113682 ... -0.00097444 -0.00378006
 -0.01559043]","[-0.00138859  0.01130228  0.00203402 ...  0.01251767 -0.0074897
  0.00238045]","[-0.02379556 -0.00906339 -0.0029361  ...  0.00254762  0.00903671
  0.00796964]",0.8687899,0.39912071714812103
Flowers bloom.,फूल खिलते हैं।,Low,"[ 0.02492807  0.00373788 -0.01787268 ... -0.02544126  0.02026786
  0.02490282]","[ 0.01801068 -0.00721972 -0.02011416 ... -0.03400026  0.03895719
  0.00249797]","[-0.00101839  0.01305563 -0.00315665 ...  0.00251523  0.00106151
 -0.0172617 ]","[ 0.00630645 -0.00618051  0.00011679 ... -0.00433863  0.00760048
 -0.02657334]",0.8461324,0.5829055434703917
The dog barks.,कुत्ता भौंकता है।,Low,"[ 0.03129583 -0.01227818 -0.00959019 ... -0.03182696  0.02341861
 -0.01874346]","[ 0.02631156 -0.02352057  0.00093236 ... -0.0103391   0.03843737
 -0.02688195]","[-0.04977592 -0.00103275  0.00999598 ... -0.00123128 -0.0159994
 -0.0293031 ]","[-0.00793953 -0.04017183 -0.00666896 ... -0.00116342  0.00076675
 -0.01635324]",0.7009363,0.3122621799133118
I am happy.,मैं खुश हूँ।,Low,"[ 0.01441573  0.03273549  0.01268318 ... -0.00835473 -0.01603452
  0.00712254]","[ 0.0222512   0.01528706 -0.0159518  ... -0.00559133  0.01738124
 -0.00194815]","[ 0.00549791  0.02312213 -0.01387478 ... -0.00304477  0.0139803
 -0.01248806]","[ 0.00918373  0.00652443 -0.01570816 ... -0.02105905  0.0071758
  0.00479912]",0.79869145,0.6061384283564901
You are kind.,आप दयालु हैं।,Low,"[-0.00044386  0.00902552 -0.01472784 ... -0.06374611 -0.01328621
  0.01791099]","[ 0.00987988 -0.02483637 -0.01616105 ... -0.07176074 -0.01910027
 -0.00782982]","[-0.00051752  0.0205857  -0.01676045 ... -0.00285742  0.00145463
 -0.01748248]","[-0.01625474 -0.00790571 -0.00863785 ... -0.00134337  0.03019889
 -0.02145357]",0.80151933,0.34800561993038875
This is a pen.,यह एक कलम है।,Low,"[-0.00386237 -0.01801867  0.00577615 ...  0.0035737   0.03160166
 -0.01702533]","[-0.00936037 -0.00385474 -0.02247068 ...  0.02486057  0.04870339
 -0.02872749]","[-0.0194029   0.00647689 -0.018451   ... -0.00210211 -0.00991563
 -0.01078027]","[-0.02076493 -0.01471116 -0.02176534 ... -0.00876    -0.00783013
  0.00199922]",0.8378251,0.6046653299093264
That is a car.,वह एक कार है।,Low,"[-0.00684557 -0.03225166 -0.00018218 ...  0.00114347  0.02721843
  0.00352145]","[ 0.01716219 -0.03286372 -0.02442804 ...  0.0052647   0.04331437
 -0.02109599]","[-0.00480601  0.03667745 -0.02214875 ...  0.00258481 -0.00558857
  0.00275279]","[-0.01914031 -0.00789039 -0.02193348 ... -0.00805129  0.00419298
  0.00206753]",0.8189445,0.5595591494998419
It is raining.,बारिश हो रही है।,Low,"[ 0.02473384  0.01013927 -0.01418288 ... -0.03503966  0.01620572
  0.01616317]","[ 0.0153787  -0.00113333 -0.02805897 ... -0.02694692  0.01122057
 -0.00181517]","[ 0.00157896  0.02894429  0.00167826 ... -0.00497873 -0.00175494
 -0.00273909]","[-0.00295613 -0.00022466  0.00027077 ... -0.01693769 -0.01633758
  0.00643583]",0.84479356,0.678641281331042
We are friends.,हम दोस्त हैं।,Low,"[-0.00864456  0.02387612  0.02142034 ... -0.01635986 -0.01644729
  0.03931969]","[ 0.01399348 -0.00435455  0.00915638 ... -0.00462995  0.0070256
  0.01420992]","[-0.00392799 -0.00939033 -0.01999852 ... -0.00349333  0.00999926
  0.02232207]","[-0.00714857  0.01376597 -0.0270893  ... -0.00304589  0.01208395
  0.0252081 ]",0.8530294,0.6143850385284331
She is a teacher.,वह एक शिक्षक है।,Low,"[-0.02210043 -0.02234261  0.00611979 ... -0.02275925  0.016915
  0.00413061]","[ 0.00294701 -0.04713313 -0.00985591 ... -0.01392825  0.03400861
 -0.02470506]","[-0.01443483 -0.00275803 -0.00928498 ... -0.01072694 -0.00401688
  0.00253487]","[-0.02130676 -0.00596231 -0.00836156 ...  0.00253801  0.00215753
 -0.0023903 ]",0.8175092,0.5944054686047573
He is a doctor.,वह एक डॉक्टर है।,Low,"[-1.7638411e-02  2.7333360e-04 -2.8911592e-03 ... -8.3873030e-03
  4.9460981e-05  3.0178078e-02]","[-0.00674201 -0.01463536 -0.01736102 ... -0.0023195   0.01721109
 -0.00171723]","[ 0.01650748  0.01911901 -0.01604804 ... -0.01344457  0.01145367
 -0.01692661]","[ 0.00939832 -0.00338813 -0.01504006 ...  0.00361263  0.01605461
  0.0007472 ]",0.84069896,0.5841908008516328
I eat rice.,मैं चावल खाता हूँ।,Low,"[ 0.01737865  0.049616    0.00877398 ... -0.02162875  0.04260341
  0.02533979]","[ 0.03302074  0.03567794 -0.00297386 ... -0.01903191  0.06060571
 -0.01638088]","[ 0.00325285 -0.03175955 -0.02204372 ...  0.00966091  0.00991723
 -0.00551093]","[-0.00767287 -0.04592869 -0.01754884 ... -0.01423876  0.01226357
  0.00938217]",0.86367834,0.644623152393025
They work hard.,वे कड़ी मेहनत करते हैं।,Low,"[-0.00343759  0.00924406  0.02703262 ...  0.00051158 -0.03534569
  0.05868854]","[-0.0126623  -0.01829551 -0.00907253 ...  0.01242449 -0.00407648
  0.02926263]","[-0.00935102 -0.02450674 -0.00176324 ... -0.00106522 -0.01317083
 -0.02147207]","[-0.0035247  -0.00746254 -0.0104542  ...  0.00302301  0.00414258
 -0.01708675]",0.8332205,0.6651055541100663
The baby sleeps.,बच्चा सोता है।,Low,"[ 0.00386625  0.00633322  0.00265598 ...  0.00524015 -0.02837764
  0.0032859 ]","[ 0.02114763 -0.02350964  0.01204244 ...  0.00147818  0.01710082
 -0.0171097 ]","[-0.04763236 -0.00046023 -0.00033588 ... -0.00133709  0.00014706
 -0.00830336]","[-0.0136548  -0.0051377   0.00298036 ... -0.01588696 -0.00254235
  0.00028623]",0.82794803,0.5357538667252716
The tree is tall.,वृक्ष ऊँचा है।,Low,"[-0.00263484 -0.01738558  0.0376774  ... -0.02271621  0.05140053
 -0.01227715]","[-0.01964011 -0.02425141  0.02545969 ... -0.02202991  0.05059293
 -0.03006775]","[ 0.01799472  0.01461968 -0.00704448 ... -0.00727252 -0.00538598
 -0.00312213]","[ 0.00687616  0.01077994 -0.003043   ...  0.00456281  0.01199714
 -0.00549084]",0.8145242,0.5710386636660847
The sky is blue.,आकाश नीला है।,Low,"[-0.03642623  0.01783884 -0.01193489 ...  0.00684828  0.003909
  0.03898587]","[-0.02814362 -0.00778715 -0.01720259 ...  0.00307222  0.00727182
  0.01521544]","[ 0.02661029 -0.0289422  -0.00272117 ...  0.0157625  -0.00382255
 -0.00584452]","[-0.00952859 -0.04432492  0.00602653 ... -0.00515821  0.00415762
 -0.0215069 ]",0.8721968,0.5192564730511491
The food tastes good.,भोजन स्वादिष्ट है।,Low,"[-0.02109067 -0.00755387  0.00706287 ... -0.02971494  0.0212161
 -0.01416331]","[-0.01258006 -0.02153534  0.01012821 ... -0.03244586  0.03176003
 -0.02672267]","[ 0.01226767  0.01284336 -0.00558899 ...  0.01544767 -0.01495422
 -0.01502276]","[ 0.01146684 -0.02739729  0.00247642 ...  0.00401559  0.00735505
  0.0041915 ]",0.77898777,0.5217160118699768
I see you.,मैं तुम्हें देखता हूँ।,Low,"[ 0.00464383  0.04491857  0.0121652  ... -0.0145645  -0.01527796
  0.01092081]","[ 0.03006737  0.03314793 -0.00157244 ... -0.02494438  0.00273558
 -0.00907583]","[-0.02130966  0.00180267 -0.02083786 ...  0.01895066  0.00251824
 -0.03274296]","[-0.03305682  0.02623525 -0.02489566 ...  0.00229017 -0.00133958
  0.00427894]",0.8064979,0.5323000426045285
She loves music.,उसे संगीत पसंद है।,Low,"[ 0.02545647  0.01802896 -0.00101941 ... -0.01860331 -0.02794555
  0.02350314]","[ 0.04194583  0.00196974  0.00953649 ... -0.0082403  -0.00467964
 -0.01138867]","[ 0.01150967  0.00294379 -0.01421783 ... -0.0069297  -0.00530348
 -0.00066874]","[ 0.02020618 -0.00270271 -0.00380276 ... -0.010339    0.00478487
 -0.00201805]",0.815951,0.6290700931218659
He reads newspapers.,वह समाचार पत्र पढ़ता है।,Low,"[ 0.01796705  0.00889612 -0.00987837 ...  0.0081572   0.02519264
  0.04149707]","[ 0.02150262 -0.01435194 -0.03468177 ...  0.01860202  0.02623719
 -0.01111159]","[ 0.04238236 -0.01992858 -0.02055988 ... -0.00461958 -0.01193497
 -0.02313626]","[ 0.02379266 -0.01563407 -0.01034968 ...  0.01153544 -0.01449986
 -0.01143233]",0.84529316,0.6048474801693735
Birds fly.,पक्षी उड़ते हैं।,Low,"[-0.00422262  0.00365696 -0.00341381 ...  0.02282098  0.02444945
  0.01164651]","[ 0.00015027 -0.01374086 -0.01364892 ...  0.00955278  0.02587578
 -0.00339199]","[-0.03504765 -0.01544964  0.00815186 ... -0.00439621 -0.00533417
  0.00441527]","[-0.01887657 -0.01266219  0.00732476 ...  0.00099446  0.00870644
  0.00300151]",0.8479886,0.4956623255118657
Fish swim.,मछलियाँ तैरती हैं।,Low,"[ 0.02319684  0.01686369 -0.01265769 ...  0.0147815   0.01331927
  0.02395476]","[ 0.01885021  0.00802529 -0.01901347 ...  0.01198993  0.02440455
  0.02232296]","[-0.01964597 -0.00175142  0.00604629 ... -0.00016344  0.00080993
 -0.00482558]","[ 0.01062554 -0.01798744  0.01249404 ... -0.00884424  0.02385453
 -0.00207871]",0.8273349,0.437632658324627
The clock ticks.,घड़ी टिक-टिक करती है।,Low,"[-0.03295214 -0.04678201 -0.01516982 ...  0.00047647 -0.04387971
  0.00146696]","[-0.02599955 -0.02419757 -0.01486205 ... -0.00436632 -0.01677876
 -0.03065842]","[ 0.00376185 -0.01595582 -0.00661978 ... -0.00903923  0.01183645
 -0.01258297]","[-0.00904776 -0.03052849 -0.00145838 ... -0.00213029 -0.00572751
 -0.02057117]",0.7890298,0.4662266068544379
The door opens.,दरवाजा खुलता है।,Low,"[-0.02054306 -0.0062577   0.00821385 ... -0.01908442 -0.01127377
 -0.00130087]","[-0.0028612  -0.03091283  0.00276653 ... -0.0134636   0.00854789
 -0.02764136]","[ 0.00098188  0.01698435 -0.00010698 ... -0.02204901 -0.01456493
 -0.0205651 ]","[-0.03589087  0.01738186  0.00215605 ... -0.01721872  0.01443792
 -0.01080434]",0.8394538,0.6088153165336994
The train arrives.,ट्रेन पहुंचती है।,Low,"[ 0.03124923 -0.0319314   0.01235805 ... -0.00570485 -0.02153199
 -0.00525294]","[ 0.02575112 -0.03715635  0.01311946 ... -0.01782851 -0.00396423
 -0.02752768]","[-0.01957773  0.02854707  0.00865822 ... -0.01171629 -0.00668147
  0.00713297]","[-0.03185983  0.02424742  0.0026082  ...  0.01548597 -0.00814776
  0.00058758]",0.80511206,0.6461931654210029
The phone rings.,फोन बजता है।,Low,"[ 0.02894218  0.00243479  0.00259848 ...  0.01808582 -0.02840262
  0.01578782]","[ 0.0220676  -0.01605691 -0.02375258 ...  0.02667616 -0.00569225
 -0.01356616]","[ 2.22500996e-03  2.13221903e-03 -3.43339088e-05 ... -2.16380749e-02
 -3.67215509e-03 -7.20611075e-03]","[-0.02606673 -0.01882525  0.0023174  ... -0.00944513  0.00966614
 -0.00767701]",0.8219581,0.5509746473918782
I will finish my homework before dinner.,मैं रात के खाने से पहले अपना होमवर्क पूरा कर लूंगा।,Medium,"[-0.03586259  0.02321572  0.01824902 ...  0.03162685 -0.02936193
 -0.0130181 ]","[-0.02129724 -0.00419037  0.01173461 ...  0.03623612  0.00012939
 -0.04252838]","[-0.01010302 -0.00757726 -0.01437639 ...  0.00464968 -0.00783877
  0.01396818]","[ 8.50418210e-03 -1.43296048e-02 -7.07707042e-03 ... -7.46309245e-03
 -5.00805072e-05  5.98919019e-03]",0.6537098,0.5782013671588637
She enjoys painting landscapes in her free time.,वह अपने खाली समय में परिदृश्य चित्रित करना पसंद करती है।,Medium,"[-0.04614262  0.05954203 -0.01301871 ... -0.03743477  0.00213416
  0.05695406]","[-0.0368573   0.02149801  0.02999439 ... -0.01610645  0.01604911
  0.0032879 ]","[ 0.03220332  0.01144836 -0.01753881 ... -0.00039221  0.00766015
 -0.00726249]","[ 0.0233344  -0.01367639 -0.00303116 ... -0.02076356  0.00574096
  0.00032479]",0.65101266,0.5331614312699562
They visited the museum last Sunday.,उन्होंने पिछले रविवार को संग्रहालय का दौरा किया।,Medium,"[-0.0042648   0.04771169  0.01519224 ... -0.03951686  0.02264481
 -0.00612317]","[ 0.03448034  0.04345563  0.01527283 ... -0.0283089   0.03753927
 -0.05012032]","[ 0.00963277  0.04939513 -0.01678855 ...  0.00227239  0.01828054
  0.0086695 ]","[-0.01712091  0.02807781 -0.00269827 ... -0.0220594   0.01736359
 -0.01510669]",0.6664942,0.679358343649477
We are planning a trip to the mountains next month.,हम अगले महीने पहाड़ों की यात्रा की योजना बना रहे हैं।,Medium,"[-4.7780339e-02  1.6564984e-02  5.0003915e-03 ... -3.2413863e-02
  5.0855753e-05  1.4488115e-02]","[-3.9651554e-02  2.5095237e-02  2.4382776e-05 ... -1.5601787e-02
 -2.8045822e-03  9.4865011e-03]","[ 0.00954478 -0.01326924 -0.01307683 ...  0.00855526  0.00401994
  0.01233469]","[-0.01337532  0.01610913 -0.00088397 ...  0.00817318  0.00339467
  0.00428711]",0.8062374,0.7052360354481535
He has never seen a shooting star.,उसने कभी उल्का-पिंड नहीं देखा।,Medium,"[ 0.00824397 -0.00824451 -0.01623036 ... -0.04883195  0.01600054
  0.02570342]","[ 0.01823556  0.00846713 -0.01825076 ...  0.00346435  0.03671473
  0.02089671]","[ 0.0055366   0.01649146 -0.01263407 ...  0.00718383 -0.02163464
  0.00220856]","[ 0.01290968  0.03576872 -0.00998275 ...  0.00817984 -0.01415613
  0.0047827 ]",0.57979935,0.41923292442188825
I could not attend the meeting because I was sick.,मैं बीमार होने की वजह से बैठक में शामिल नहीं हो सका।,Medium,"[ 0.03976861  0.00722479 -0.00072923 ...  0.00286015 -0.00872115
 -0.02860065]","[ 0.05342934  0.0135709   0.02703702 ...  0.02866649 -0.00552503
 -0.01679312]","[-3.09723010e-03  2.38980763e-02 -1.31636383e-02 ...  8.82390514e-03
  2.99803087e-05 -8.00979510e-03]","[ 0.00309908  0.01487323 -0.00656619 ... -0.00735483 -0.00084122
  0.01084239]",0.58728814,0.5494841974520661
The team played exceptionally well in the final match.,टीम ने अंतिम मैच में असाधारण रूप से अच्छा खेल दिखाया।,Medium,"[ 0.00243894  0.03420509  0.01515325 ... -0.01076616 -0.02957079
  0.02250822]","[ 0.01892122 -0.00570011  0.00864117 ...  0.00087475 -0.01176929
 -0.00738812]","[ 0.02844938  0.00155505 -0.01361113 ...  0.01448563 -0.00562429
 -0.02160856]","[-0.00410535 -0.01878517 -0.00095989 ... -0.00586255 -0.01702172
 -0.01519573]",0.71301574,0.647492976931698
"If it rains tomorrow, we will stay indoors.","अगर कल बारिश होती है, तो हम घर के अंदर रहेंगे।",Medium,"[ 0.00650252 -0.01275516  0.03355673 ... -0.03121374 -0.01659937
 -0.01883004]","[ 0.02416662 -0.02294013  0.03436978 ... -0.02460357 -0.01840928
 -0.02704427]","[-0.02883875  0.02602335 -0.01880733 ...  0.0096573  -0.00030357
  0.03236433]","[-0.01018781  0.00138164 -0.01109431 ... -0.02478449  0.0059798
  0.0404834 ]",0.85314685,0.7250054941916018
The children are learning to swim this summer.,बच्चे इस गर्मी में तैरना सीख रहे हैं।,Medium,"[-0.01464423  0.00157694 -0.05449513 ... -0.01924713 -0.01628349
  0.0222189 ]","[ 0.00373015 -0.00858522 -0.04382525 ... -0.01877977 -0.01724375
  0.03020883]","[-0.03197956  0.01618754 -0.01106713 ... -0.00251606  0.0010744
  0.00173917]","[-0.00659136 -0.01184437  0.00431617 ... -0.01039896  0.00532662
 -0.00532662]",0.74781567,0.5229457364104267
She has already completed the assignment.,उसने पहले ही असाइनमेंट पूरा कर लिया है।,Medium,"[-0.07206029  0.03473351 -0.03857142 ... -0.04628935 -0.02726532
 -0.02394186]","[-0.05757012  0.02186709 -0.09643988 ... -0.02380211 -0.00478157
 -0.02593292]","[ 0.02371325  0.01539253  0.00127621 ...  0.0004959  -0.01287915
 -0.00174356]","[ 0.03576275  0.00955174  0.00905003 ...  0.00522612 -0.01168078
 -0.00867054]",0.76614726,0.43361440863389894
They are building a new library in the town center.,वे शहर के केंद्र में एक नई लाइब्रेरी बना रहे हैं।,Medium,"[ 0.00721911 -0.02198276 -0.0083103  ...  0.03241878 -0.00852245
  0.01260857]","[-0.01687995 -0.03318213 -0.03404414 ...  0.03822867 -0.02781958
  0.01197951]","[ 0.02053114  0.02589991 -0.01323757 ... -0.00476774 -0.01597358
 -0.01811224]","[ 0.00774478  0.00125612 -0.00112591 ... -0.00948849 -0.00735414
 -0.00146488]",0.7147435,0.6616644298885952
I would like to learn how to play the guitar.,मैं गिटार बजाना सीखना चाहूंगा।,Medium,"[ 0.03075856 -0.00303176 -0.00055102 ... -0.04438173 -0.00664945
  0.05331126]","[ 0.01051665 -0.00994013 -0.00997953 ... -0.00958119 -0.00189745
  0.03342154]","[ 0.00362056 -0.00241135 -0.01607382 ... -0.00791839 -0.0035105
 -0.00396484]","[-0.00929512 -0.01441928  0.00208943 ... -0.0236986  -0.01144906
  0.0096585 ]",0.83634996,0.6507182424897596
He usually takes the bus to work.,वह सामान्यतः बस से काम पर जाता है।,Medium,"[ 0.02093996  0.02000213  0.01779435 ... -0.0059152  -0.00233131
  0.00173638]","[ 0.02299341  0.01334607  0.00601796 ...  0.0145086   0.02937632
 -0.00970964]","[ 0.02949736  0.01895643 -0.00929152 ... -0.00939205 -0.00406055
  0.01439684]","[ 0.00586115 -0.00109724 -0.0061685  ... -0.01756808  0.00090514
  0.0090791 ]",0.832312,0.6364785635354584
We have been waiting for an hour.,हम एक घंटे से इंतजार कर रहे हैं।,Medium,"[-0.01445021 -0.0006773  -0.0108403  ...  0.01460982 -0.01416233
  0.04073898]","[-0.00807489 -0.02199011 -0.01694472 ...  0.02126043 -0.00432115
  0.03256383]","[-0.0210342  -0.03282563 -0.00120141 ... -0.00500138  0.00660965
  0.01511545]","[-0.02118923 -0.02819777 -0.00639154 ... -0.00945607  0.01536697
  0.0119786 ]",0.8645524,0.645896083182736
The chef prepared a delicious meal for the guests.,शेफ ने मेहमानों के लिए एक स्वादिष्ट भोजन तैयार किया।,Medium,"[-0.01987225 -0.02360247  0.05878134 ... -0.02558383  0.03126685
  0.02754304]","[-0.03185981  0.01563363  0.03505804 ... -0.00485331  0.04927259
 -0.01042255]","[ 0.00187745 -0.01535907 -0.01266342 ...  0.00323206 -0.0185368
  0.00853508]","[-0.00825816 -0.02127085 -0.01146936 ... -0.00373648  0.01190258
 -0.0066336 ]",0.78117096,0.4809259110934542
She will arrive at the airport by noon.,वह दोपहर तक हवाई अड्डे पर पहुंच जाएगी।,Medium,"[ 0.00594925  0.01066234  0.04960985 ...  0.0090949  -0.01338994
 -0.02207032]","[ 0.02424575 -0.0222859   0.05206206 ...  0.01677832 -0.01029382
 -0.01597783]","[ 0.00071748  0.00688169  0.00211991 ...  0.009081   -0.00708102
 -0.00211485]","[-0.02102971 -0.00526267  0.01001115 ...  0.01109202 -0.00559323
  0.01336919]",0.7392927,0.578834703999757
The company celebrated its anniversary with a grand event.,कंपनी ने अपने वर्षगांठ को एक भव्य कार्यक्रम के साथ मनाया।,Medium,"[ 0.02549196  0.07038385 -0.00339219 ... -0.03434931  0.02648602
  0.02082424]","[ 0.00798069  0.05851828  0.0147307  ... -0.01516624  0.03456485
  0.00852509]","[-0.00910256 -0.02088591 -0.01496395 ... -0.00666411 -0.00040775
 -0.03601646]","[-0.01342616 -0.06286891 -0.01427607 ... -0.01200348  0.01692435
 -0.02426562]",0.8736695,0.6143938423710683
He is writing a novel about his childhood.,वह अपने बचपन के बारे में एक उपन्यास लिख रहा है।,Medium,"[-0.03024449 -0.02868691 -0.00258035 ... -0.01880561  0.01901553
 -0.05166092]","[-0.03390386 -0.01252599 -0.00845892 ... -0.01415317 -0.00050471
 -0.05978166]","[ 0.00826551  0.0027387  -0.01918502 ... -0.01379938 -0.00129082
  0.01370762]","[ 0.00638417 -0.01315699 -0.00434661 ... -0.01067077 -0.00513249
  0.0175579 ]",0.8523571,0.6871901952934207
They had finished dinner before the guests arrived.,उन्होंने मेहमानों के आने से पहले रात का खाना खत्म कर लिया था।,Medium,"[ 0.02446484 -0.00627114  0.05549423 ... -0.04792926 -0.01873507
 -0.01287096]","[-0.02120572  0.02428831  0.0129266  ...  0.00282411  0.00319555
 -0.01942119]","[ 0.02268268 -0.02835679 -0.00560885 ...  0.01416466 -0.0139517
  0.00938357]","[ 0.01563369 -0.0238811   0.00858701 ... -0.00171619 -0.00446027
 -0.01202545]",0.6668981,0.5075821988652875
I am considering adopting a pet dog.,मैं एक पालतू कुत्ता अपनाने पर विचार कर रहा हूँ।,Medium,"[-0.00959664  0.02190513  0.03828496 ... -0.00520372  0.04290749
  0.00898466]","[ 0.00376682  0.00995924  0.00265576 ... -0.02768057  0.07340463
 -0.01963847]","[-0.02096126  0.01780044 -0.02004628 ...  0.00278998 -0.00551758
 -0.00458528]","[-0.03053465  0.00261788 -0.01277647 ... -0.00527293  0.00425056
 -0.00997581]",0.8636555,0.6009455890593913
She often travels abroad for business.,वह अक्सर व्यापार के लिए विदेश यात्रा करती है।,Medium,"[-0.01919002  0.01557111 -0.00271391 ... -0.03027103  0.01431221
  0.04962556]","[ 0.01404029  0.01484962 -0.02959036 ...  0.02313711  0.01476648
  0.05221844]","[ 0.02657513  0.01970516 -0.01634685 ... -0.02120796 -0.01028962
  0.00369376]","[ 0.01210111  0.00281292 -0.01189799 ... -0.0104269  -0.00944207
 -0.00994064]",0.767013,0.6728264036468564
